prefix_family_id,prompt_id,vertical,memory_mode,total_input_tokens_estimated,exact_shared_prefix_tokens_estimated,variable_suffix_tokens_estimated,reusable_token_ratio_estimated,tokenizer,measurement_type
prefix_family_b797a07febd8,airline_scaleup_2000_0038,airline,mm2_hybrid_top5,343,28,315,0.081633,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0039,airline,mm2_hybrid_top5,318,28,290,0.08805,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0040,airline,mm2_hybrid_top5,334,28,306,0.083832,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0041,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0042,airline,mm2_hybrid_top5,303,28,275,0.092409,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0043,airline,mm2_hybrid_top5,389,28,361,0.071979,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0044,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0045,airline,mm2_hybrid_top5,312,28,284,0.089744,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0046,airline,mm2_hybrid_top5,392,28,364,0.071429,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0047,airline,mm2_hybrid_top5,308,28,280,0.090909,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0048,airline,mm2_hybrid_top5,303,28,275,0.092409,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0049,airline,mm2_hybrid_top5,362,28,334,0.077348,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0050,airline,mm2_hybrid_top5,343,28,315,0.081633,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0051,airline,mm2_hybrid_top5,334,28,306,0.083832,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0052,airline,mm2_hybrid_top5,340,28,312,0.082353,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0053,airline,mm2_hybrid_top5,280,28,252,0.1,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0054,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0055,airline,mm2_hybrid_top5,349,28,321,0.080229,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0056,airline,mm2_hybrid_top5,284,28,256,0.098592,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0057,airline,mm2_hybrid_top5,265,28,237,0.10566,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0058,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0059,airline,mm2_hybrid_top5,358,28,330,0.078212,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0060,airline,mm2_hybrid_top5,360,28,332,0.077778,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0061,airline,mm2_hybrid_top5,316,28,288,0.088608,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0062,airline,mm2_hybrid_top5,346,28,318,0.080925,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0063,airline,mm2_hybrid_top5,331,28,303,0.084592,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0064,airline,mm2_hybrid_top5,322,28,294,0.086957,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0065,airline,mm2_hybrid_top5,393,28,365,0.071247,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0066,airline,mm2_hybrid_top5,296,28,268,0.094595,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0067,airline,mm2_hybrid_top5,309,28,281,0.090615,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0068,airline,mm2_hybrid_top5,335,28,307,0.083582,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0069,airline,mm2_hybrid_top5,329,28,301,0.085106,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0070,airline,mm2_hybrid_top5,347,28,319,0.080692,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0071,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0072,airline,mm2_hybrid_top5,303,28,275,0.092409,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0073,airline,mm2_hybrid_top5,381,28,353,0.073491,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0074,airline,mm2_hybrid_top5,320,28,292,0.0875,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0075,airline,mm2_hybrid_top5,350,28,322,0.08,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0076,airline,mm2_hybrid_top5,351,28,323,0.079772,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0077,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0078,airline,mm2_hybrid_top5,376,28,348,0.074468,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0079,airline,mm2_hybrid_top5,269,28,241,0.104089,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0080,airline,mm2_hybrid_top5,349,28,321,0.080229,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0081,airline,mm2_hybrid_top5,348,28,320,0.08046,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0082,airline,mm2_hybrid_top5,324,28,296,0.08642,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0083,airline,mm2_hybrid_top5,326,28,298,0.08589,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0084,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0085,airline,mm2_hybrid_top5,384,28,356,0.072917,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0086,airline,mm2_hybrid_top5,321,28,293,0.087227,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0087,airline,mm2_hybrid_top5,272,28,244,0.102941,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0088,airline,mm2_hybrid_top5,297,28,269,0.094276,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0089,airline,mm2_hybrid_top5,315,28,287,0.088889,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0090,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0091,airline,mm2_hybrid_top5,309,28,281,0.090615,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0092,airline,mm2_hybrid_top5,252,28,224,0.111111,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0093,airline,mm2_hybrid_top5,335,28,307,0.083582,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0094,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0095,airline,mm2_hybrid_top5,367,28,339,0.076294,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0096,airline,mm2_hybrid_top5,346,28,318,0.080925,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0097,airline,mm2_hybrid_top5,335,28,307,0.083582,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0098,airline,mm2_hybrid_top5,376,28,348,0.074468,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0099,airline,mm2_hybrid_top5,322,28,294,0.086957,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0100,airline,mm2_hybrid_top5,353,28,325,0.07932,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0101,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0102,airline,mm2_hybrid_top5,274,28,246,0.10219,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0103,airline,mm2_hybrid_top5,343,28,315,0.081633,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0104,airline,mm2_hybrid_top5,318,28,290,0.08805,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0105,airline,mm2_hybrid_top5,333,28,305,0.084084,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0106,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0107,airline,mm2_hybrid_top5,303,28,275,0.092409,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0108,airline,mm2_hybrid_top5,393,28,365,0.071247,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0109,airline,mm2_hybrid_top5,351,28,323,0.079772,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0110,airline,mm2_hybrid_top5,312,28,284,0.089744,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0111,airline,mm2_hybrid_top5,392,28,364,0.071429,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0112,airline,mm2_hybrid_top5,308,28,280,0.090909,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0113,airline,mm2_hybrid_top5,341,28,313,0.082111,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0114,airline,mm2_hybrid_top5,362,28,334,0.077348,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0115,airline,mm2_hybrid_top5,343,28,315,0.081633,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0116,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0117,airline,mm2_hybrid_top5,340,28,312,0.082353,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0118,airline,mm2_hybrid_top5,280,28,252,0.1,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0119,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0120,airline,mm2_hybrid_top5,349,28,321,0.080229,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0121,airline,mm2_hybrid_top5,284,28,256,0.098592,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0122,airline,mm2_hybrid_top5,297,28,269,0.094276,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0123,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0124,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0125,airline,mm2_hybrid_top5,360,28,332,0.077778,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0126,airline,mm2_hybrid_top5,316,28,288,0.088608,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0127,airline,mm2_hybrid_top5,346,28,318,0.080925,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0128,airline,mm2_hybrid_top5,331,28,303,0.084592,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0129,airline,mm2_hybrid_top5,322,28,294,0.086957,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0130,airline,mm2_hybrid_top5,356,28,328,0.078652,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0131,airline,mm2_hybrid_top5,296,28,268,0.094595,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0132,airline,mm2_hybrid_top5,309,28,281,0.090615,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0133,airline,mm2_hybrid_top5,335,28,307,0.083582,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0134,airline,mm2_hybrid_top5,331,28,303,0.084592,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0135,airline,mm2_hybrid_top5,347,28,319,0.080692,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0136,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0137,airline,mm2_hybrid_top5,303,28,275,0.092409,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0138,airline,mm2_hybrid_top5,381,28,353,0.073491,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0139,airline,mm2_hybrid_top5,320,28,292,0.0875,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0140,airline,mm2_hybrid_top5,350,28,322,0.08,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0141,airline,mm2_hybrid_top5,351,28,323,0.079772,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0142,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0143,airline,mm2_hybrid_top5,376,28,348,0.074468,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0144,airline,mm2_hybrid_top5,269,28,241,0.104089,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0145,airline,mm2_hybrid_top5,349,28,321,0.080229,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0146,airline,mm2_hybrid_top5,348,28,320,0.08046,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0147,airline,mm2_hybrid_top5,324,28,296,0.08642,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0148,airline,mm2_hybrid_top5,326,28,298,0.08589,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0149,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0150,airline,mm2_hybrid_top5,384,28,356,0.072917,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0151,airline,mm2_hybrid_top5,321,28,293,0.087227,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0152,airline,mm2_hybrid_top5,309,28,281,0.090615,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0153,airline,mm2_hybrid_top5,297,28,269,0.094276,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0154,airline,mm2_hybrid_top5,315,28,287,0.088889,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0155,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0156,airline,mm2_hybrid_top5,309,28,281,0.090615,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0157,airline,mm2_hybrid_top5,252,28,224,0.111111,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0158,airline,mm2_hybrid_top5,335,28,307,0.083582,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0159,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0160,airline,mm2_hybrid_top5,367,28,339,0.076294,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0161,airline,mm2_hybrid_top5,346,28,318,0.080925,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0162,airline,mm2_hybrid_top5,298,28,270,0.09396,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0163,airline,mm2_hybrid_top5,376,28,348,0.074468,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0164,airline,mm2_hybrid_top5,322,28,294,0.086957,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0165,airline,mm2_hybrid_top5,353,28,325,0.07932,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0166,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0167,airline,mm2_hybrid_top5,274,28,246,0.10219,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0168,airline,mm2_hybrid_top5,343,28,315,0.081633,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0169,airline,mm2_hybrid_top5,318,28,290,0.08805,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0170,airline,mm2_hybrid_top5,296,28,268,0.094595,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0171,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0172,airline,mm2_hybrid_top5,301,28,273,0.093023,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0173,airline,mm2_hybrid_top5,352,28,324,0.079545,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0174,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0175,airline,mm2_hybrid_top5,312,28,284,0.089744,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0176,airline,mm2_hybrid_top5,392,28,364,0.071429,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0177,airline,mm2_hybrid_top5,308,28,280,0.090909,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0178,airline,mm2_hybrid_top5,341,28,313,0.082111,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0179,airline,mm2_hybrid_top5,362,28,334,0.077348,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0180,airline,mm2_hybrid_top5,343,28,315,0.081633,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0181,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0182,airline,mm2_hybrid_top5,340,28,312,0.082353,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0183,airline,mm2_hybrid_top5,318,28,290,0.08805,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0184,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0185,airline,mm2_hybrid_top5,349,28,321,0.080229,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0186,airline,mm2_hybrid_top5,284,28,256,0.098592,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0187,airline,mm2_hybrid_top5,265,28,237,0.10566,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0188,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0189,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
